          (  72,   73) (  68,   74) (  74,   73) (  68,   74) (  73,   74) (  73,   71) (  71,   76) (  75,   73) (  73,   71) (  72,   72)
          (  72,   74) (  78,   68) (  75,   75) (  71,   75) (  70,   73) (  78,   68) (  73,   75) (  67,   69) (  74,   71) (  74,   73)
          (  71,   72) (  75,   75) (  78,   72) (  69,   73) (  66,   73) (  71,   72) (  74,   70) (  68,   71) (  77,   75) (  71,   72)
          (  73,   68) (  70,   70) (  70,   71) (  71,   69) (  72,   72) (  75,   75) (  71,   69) (  70,   75) (  73,   73) (  75,   75)
          (  75,   71) (  68,   73) (  78,   68) (  73,   77) (  72,   74) (  74,   72) (  72,   67) (  75,   71) (  75,   73) (  69,   73)
          (  72,   68) (  75,   75) (  76,   71) (  74,   76) (  71,   76) (  76,   72) (  75,   72) (  74,   73) (  76,   70) (  71,   74)
          (  72,   72) (  72,   70) (  74,   73) (  76,   72) (  71,   72) (  68,   75) (  73,   74) (  73,   72) (  75,   73) (  76,   74)
          (  74,   76) (  74,   72) (  73,   74) (  73,   73) (  70,   73) (  76,   72) (  78,   73) (  70,   70) (  72,   73) (  72,   67)
          (  68,   72) (  74,   72) (  70,   74) (  72,   71) (  76,   73) (  74,   72) (  78,   80) (  77,   72) (  78,   74) (  72,   73)
          (  73,   65) (  72,   69) (  77,   74) (  73,   75) (  71,   72) (  68,   77) (  78,   74) (  73,   70) (  74,   75) (  74,   71)
          (  70,   69) (  75,   68) (  71,   73) (  71,   69) (  76,   71) (  74,   71) (  76,   72) (  74,   68) (  70,   76) (  74,   70)
          (  72,   73) (  74,   71) (  74,   68) (  74,   71) (  71,   72) (  69,   72) (  71,   67) (  74,   71) (  73,   71) (  75,   74)
          (  74,   75) (  81,   70) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80)
          (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  81,   80) (  27,   80)
          (   0,   80) (   0,   80) (   0,   70) (   0,   60) (   0,   50) (   0,   50) (   0,   40) (   0,   40) (   0,   30) (   0,   30)
          (   0,   30) (   0,   30) (   0,   20) (   0,   20) (   0,   20) (   0,   20) (   0,   20) (   0,   10) (   0,   10) (   0,   10)
